# arch	model	K	arm	fingerprint	cycle_seconds	variant_slug	note
# grid A: arch x model, at env.sh's K and the reference arm
eyeriss_like	resnet18	36	recon3	a6e9142cb1fd	5e-09	vic2000__vicx__alg-linear_pruned__to100000000__noc__clk5e-09__paper__wt96__wrelax__ert-recon3-weights_spad-write	
eyeriss_like	resnet18	36	recon4	30a44c3cfc8c	5e-09	vic2000__vicx__alg-linear_pruned__to100000000__noc__clk5e-09__paper__wt96__wdw5-weights_spad__wrelax__ert-recon4-weights_spad-read	
eyeriss_like	resnet18	39	reference	5887b898ec0d	5e-09	vic2000__vicx__alg-linear_pruned__to100000000__noc__clk5e-09__paper__wt96__wrelax	
eyeriss_like	resnet18	39	recon1	55a1a7b753c6	5e-09	vic2000__vicx__alg-linear_pruned__to100000000__noc__clk5e-09__paper__wt96__wrelax__arm-recon1	
eyeriss_like	resnet18	39	recon2	55a1a7b753c6	5e-09	vic2000__vicx__alg-linear_pruned__to100000000__noc__clk5e-09__paper__wt96__wrelax__arm-recon2	
eyeriss_like	resnet18	39	recon3	e1ad90583bca	5e-09	vic2000__vicx__alg-linear_pruned__to100000000__noc__clk5e-09__paper__wt96__wrelax__ert-recon3-weights_spad-write	
eyeriss_like	resnet18	39	recon4	4683bef76c9a	5e-09	vic2000__vicx__alg-linear_pruned__to100000000__noc__clk5e-09__paper__wt96__wdw5-weights_spad__wrelax__ert-recon4-weights_spad-read	
eyeriss_like	resnet18	45	reference	5887b898ec0d	5e-09	vic2000__vicx__alg-linear_pruned__to100000000__noc__clk5e-09__paper__wt96__wrelax	
eyeriss_like	resnet18	45	recon1	ed9b2b704e41	5e-09	vic2000__vicx__alg-linear_pruned__to100000000__noc__clk5e-09__paper__wt96__wrelax__arm-recon1	
eyeriss_like	resnet18	45	recon2	ed9b2b704e41	5e-09	vic2000__vicx__alg-linear_pruned__to100000000__noc__clk5e-09__paper__wt96__wrelax__arm-recon2	
eyeriss_like	resnet18	45	recon3	ffcd4ce27aff	5e-09	vic2000__vicx__alg-linear_pruned__to100000000__noc__clk5e-09__paper__wt96__wrelax__ert-recon3-weights_spad-write	
